index,Seed,Ticks,SuccessfulInfluence,Topology,neighborhood,num_agents,num_features,num_traits,communication_regime,homophily,seed,Regions,Isolates,Homogeneity,AverageDistance
0,15227,85719,24694,grid,moore,100,5,15,one-to-one,0.25,15227,2,1,0.99,0.02
0,13453,67300,22518,grid,moore,100,5,15,one-to-one,0.25,13453,1,0,1.0,0.0
0,18677,82565,24547,grid,moore,100,5,15,one-to-one,0.25,18677,2,0,0.98,0.035
0,90749,83591,25719,grid,moore,100,5,15,one-to-one,0.25,90749,3,2,0.98,0.04
0,50756,56653,20011,grid,moore,100,5,15,one-to-one,0.25,50756,1,0,1.0,0.0
0,34672,52922,16875,grid,moore,100,5,15,one-to-one,0.25,34672,1,0,1.0,0.0
0,54217,84546,28612,grid,moore,100,5,15,one-to-one,0.25,54217,1,0,1.0,0.0
0,47498,58540,19909,grid,moore,100,5,15,one-to-one,0.25,47498,1,0,1.0,0.0
0,98307,77658,24276,grid,moore,100,5,15,one-to-one,0.25,98307,1,0,1.0,0.0
0,75644,56911,19490,grid,moore,100,5,15,one-to-one,0.25,75644,4,3,0.97,0.06
0,18493,101934,26034,grid,moore,100,5,15,one-to-one,0.25,18493,3,1,0.96,0.065
0,33096,67918,22090,grid,moore,100,5,15,one-to-one,0.25,33096,1,0,1.0,0.0
0,93922,145229,39863,grid,moore,100,5,15,one-to-one,0.25,93922,2,1,0.99,0.02
0,23093,57236,19223,grid,moore,100,5,15,one-to-one,0.25,23093,2,1,0.99,0.02
0,58344,56346,18987,grid,moore,100,5,15,one-to-one,0.25,58344,1,0,1.0,0.0
0,61375,44694,15152,grid,moore,100,5,15,one-to-one,0.25,61375,2,1,0.99,0.02
0,16407,69738,21833,grid,moore,100,5,15,one-to-one,0.25,16407,3,2,0.98,0.04
0,10464,66758,22730,grid,moore,100,5,15,one-to-one,0.25,10464,1,0,1.0,0.0
0,18138,70638,22283,grid,moore,100,5,15,one-to-one,0.25,18138,2,1,0.99,0.02
0,69250,80872,21714,grid,moore,100,5,15,one-to-one,0.25,69250,4,2,0.93,0.1
0,68126,78288,22978,grid,moore,100,5,15,one-to-one,0.25,68126,4,3,0.97,0.06
0,54777,90199,27141,grid,moore,100,5,15,one-to-one,0.25,54777,1,0,1.0,0.0
0,93156,77159,25918,grid,moore,100,5,15,one-to-one,0.25,93156,1,0,1.0,0.0
0,24547,49714,15859,grid,moore,100,5,15,one-to-one,0.25,24547,1,0,1.0,0.0
