index,Seed,Ticks,SuccessfulInfluence,Topology,neighborhood,num_agents,num_features,num_traits,communication_regime,homophily,seed,Regions,Isolates,Homogeneity,AverageDistance
0,15227,58763,17627,grid,moore,100,5,15,one-to-one,0.125,15227,2,1,0.99,0.02
0,13453,55674,18845,grid,moore,100,5,15,one-to-one,0.125,13453,1,0,1.0,0.0
0,18677,74035,22772,grid,moore,100,5,15,one-to-one,0.125,18677,1,0,1.0,0.0
0,90749,67878,18707,grid,moore,100,5,15,one-to-one,0.125,90749,3,1,0.97,0.055
0,50756,83460,23518,grid,moore,100,5,15,one-to-one,0.125,50756,3,0,0.94,0.0925
0,34672,111997,33439,grid,moore,100,5,15,one-to-one,0.125,34672,3,2,0.98,0.04
0,54217,73933,24312,grid,moore,100,5,15,one-to-one,0.125,54217,2,1,0.99,0.02
0,47498,76306,21271,grid,moore,100,5,15,one-to-one,0.125,47498,1,0,1.0,0.0
0,98307,72152,23459,grid,moore,100,5,15,one-to-one,0.125,98307,1,0,1.0,0.0
0,75644,67415,19854,grid,moore,100,5,15,one-to-one,0.125,75644,1,0,1.0,0.0
0,18493,47709,15706,grid,moore,100,5,15,one-to-one,0.125,18493,2,1,0.99,0.02
0,33096,123450,39775,grid,moore,100,5,15,one-to-one,0.125,33096,1,0,1.0,0.0
0,93922,60831,19096,grid,moore,100,5,15,one-to-one,0.125,93922,1,0,1.0,0.0
0,23093,89081,31703,grid,moore,100,5,15,one-to-one,0.125,23093,1,0,1.0,0.0
0,58344,85595,30898,grid,moore,100,5,15,one-to-one,0.125,58344,1,0,1.0,0.0
0,61375,35723,11611,grid,moore,100,5,15,one-to-one,0.125,61375,1,0,1.0,0.0
0,16407,85648,31993,grid,moore,100,5,15,one-to-one,0.125,16407,1,0,1.0,0.0
0,10464,99161,29168,grid,moore,100,5,15,one-to-one,0.125,10464,1,0,1.0,0.0
0,18138,52086,16392,grid,moore,100,5,15,one-to-one,0.125,18138,1,0,1.0,0.0
0,69250,72862,25112,grid,moore,100,5,15,one-to-one,0.125,69250,2,1,0.99,0.02
0,68126,76004,20635,grid,moore,100,5,15,one-to-one,0.125,68126,2,1,0.99,0.02
0,54777,59700,19140,grid,moore,100,5,15,one-to-one,0.125,54777,1,0,1.0,0.0
0,93156,75323,25284,grid,moore,100,5,15,one-to-one,0.125,93156,2,1,0.99,0.02
0,24547,58733,16830,grid,moore,100,5,15,one-to-one,0.125,24547,1,0,1.0,0.0
0,43655,65118,18792,grid,moore,100,5,15,one-to-one,0.125,43655,3,1,0.97,0.055
0,16448,58007,17290,grid,moore,100,5,15,one-to-one,0.125,16448,2,1,0.99,0.02
0,39676,71172,23805,grid,moore,100,5,15,one-to-one,0.125,39676,1,0,1.0,0.0
0,48401,76033,25297,grid,moore,100,5,15,one-to-one,0.125,48401,3,2,0.98,0.04
0,58936,73017,25442,grid,moore,100,5,15,one-to-one,0.125,58936,1,0,1.0,0.0
0,34820,89621,27802,grid,moore,100,5,15,one-to-one,0.125,34820,2,0,0.98,0.035
0,62959,80304,27244,grid,moore,100,5,15,one-to-one,0.125,62959,4,2,0.96,0.075
0,20449,63619,18304,grid,moore,100,5,15,one-to-one,0.125,20449,5,3,0.93,0.11
0,53639,51105,16568,grid,moore,100,5,15,one-to-one,0.125,53639,1,0,1.0,0.0
